timestamp,temp_val,moist_val,n_val,p_val,k_val,ph_val,classification_result
2024-06-17 05:22:20,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:22:26,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:22:31,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:22:36,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:22:41,24.0,3.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:22:46,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:32:32,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:32:37,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:32:42,23.5,2.0,0.0,0.0,0.0,6.54,1
2024-06-17 05:32:47,23.5,2.0,0.0,0.0,0.0,6.54,1
2024-06-17 05:38:58,24.0,2.0,0.0,0.0,0.0,6.49,1
2024-06-17 05:39:03,23.5,3.0,0.0,0.0,0.0,6.53,1
2024-06-17 08:09:17,24.5,0.0,0.0,0.0,0.0,6.46,1
2024-06-17 08:09:22,24.5,0.0,0.0,0.0,0.0,6.46,1
2024-06-17 11:48:09,33.5,28.0,0.0,0.0,0.0,6.4,1
2024-06-17 11:48:14,33.5,28.0,0.0,0.0,0.0,6.4,1
2024-06-17 13:00:13,35,15,10,32,19,9.29,0
2024-06-17 13:00:18,35,15,10,32,19,9.29,0
2024-06-17 13:02:10,35,15,10,32,19,9.29,0
2024-06-17 13:02:15,35,15,10,32,19,9.29,0
2024-06-17 13:21:35,26.5,31.0,0.0,0.0,0.0,6.65,1
2024-06-17 13:21:40,26.5,31.0,0.0,0.0,0.0,6.65,1
2024-06-18 18:55:49,34.1,43.2,9,10,19,6.44,0
2024-06-18 19:36:29,33,40,3,1,2,6.71,1
